Source,Target,Weight
1,3,42.25
1,4,0.333
1,5,3.5
1,6,0.167
1,7,5.5
1,8,15.5
1,9,20.333
1,11,0.125
1,12,0.2
1,14,0.25
1,15,0.333
1,16,0.2
1,17,0.2
1,18,0.333
1,19,0.25
1,20,0.5
1,21,0.2
1,22,0.25
1,23,0.167
1,24,0.143
1,25,0.2
1,26,0.167
1,27,0.333
1,28,0.5
1,29,0.167
1,30,0.2
1,31,0.167
1,32,0.143
1,33,0.143
1,34,0.25
1,35,1.0
1,36,1.0
1,37,0.25
1,38,1.0
1,39,0.333
3,1,42.25
3,4,104.333
3,5,2.25
3,6,6.167
3,7,3.5
3,8,0.167
3,9,4.0
3,11,0.125
3,12,0.2
3,14,1.25
3,15,0.333
3,16,0.333
3,17,1.0
3,18,0.2
3,19,0.5
3,20,0.5
3,21,0.2
3,22,0.167
3,23,0.167
3,24,0.333
3,25,0.2
3,26,0.25
3,27,1.0
3,28,0.5
3,29,0.167
3,30,0.2
3,31,0.5
3,32,0.143
3,33,0.143
3,34,0.25
3,35,0.2
3,36,0.333
3,37,0.25
3,38,0.333
3,39,0.143
4,1,0.333
4,3,104.333
4,5,43.0
4,6,8.333
4,7,0.2
4,8,1.333
4,9,0.25
4,11,0.2
4,12,0.5
4,14,0.333
4,15,1.5
4,16,0.25
4,17,0.25
4,18,0.5
4,19,0.333
4,20,1.0
4,21,0.5
4,22,0.333
4,23,0.333
4,24,0.167
4,25,0.25
4,26,0.2
4,27,0.5
4,28,0.333
4,29,0.333
4,30,0.5
4,31,0.2
4,32,0.25
4,33,0.25
4,34,1.0
4,35,0.5
4,36,0.25
4,37,1.0
4,38,0.5
4,39,0.25
5,1,3.5
5,3,2.25
5,4,43.0
5,6,60.25
5,7,12.25
5,8,7.5
5,9,2.333
5,11,1.167
5,12,0.333
5,14,1.25
5,15,0.333
5,16,0.2
5,17,0.2
5,18,1.0
5,19,0.25
5,20,0.5
5,21,0.333
5,22,0.5
5,23,0.25
5,24,0.143
5,25,0.2
5,26,0.167
5,27,0.333
5,28,0.5
5,29,0.25
5,30,0.333
5,31,0.167
5,32,0.2
5,33,0.2
5,34,0.5
5,35,1.0
5,36,0.333
5,37,0.5
5,38,1.0
5,39,0.333
6,1,0.167
6,3,6.167
6,4,8.333
6,5,60.25
6,7,0.125
6,8,31.167
6,9,0.143
6,11,10.5
6,12,0.333
6,14,1.5
6,15,2.333
6,16,0.333
6,17,0.2
6,18,1.2
6,19,0.25
6,20,0.25
6,21,1.2
6,22,0.167
6,23,0.25
6,24,0.333
6,25,1.0
6,26,0.5
6,27,0.2
6,28,0.167
6,29,0.5
6,30,1.0
6,31,0.25
6,32,0.333
6,33,1.0
6,34,0.25
6,35,0.2
6,36,0.143
6,37,0.5
6,38,0.2
6,39,0.143
7,1,5.5
7,3,3.5
7,4,0.2
7,5,12.25
7,6,0.125
7,8,31.25
7,9,9.0
7,11,26.1
7,12,0.143
7,14,2.167
7,15,2.2
7,16,0.2
7,17,2.333
7,18,0.2
7,19,0.25
7,20,0.25
7,21,0.143
7,22,0.167
7,23,0.125
7,24,0.2
7,25,0.143
7,26,0.167
7,27,0.333
7,28,0.5
7,29,0.125
7,30,0.143
7,31,0.25
7,32,0.111
7,33,0.111
7,34,0.167
7,35,0.333
7,36,1.0
7,37,0.167
7,38,0.333
7,39,0.2
8,1,15.5
8,3,0.167
8,4,1.333
8,5,7.5
8,6,31.167
8,7,31.25
8,9,2.2
8,11,0.167
8,12,0.333
8,14,0.167
8,15,0.2
8,16,0.143
8,17,0.143
8,18,1.0
8,19,1.167
8,20,0.25
8,21,2.333
8,22,0.5
8,23,1.25
8,24,0.111
8,25,0.143
8,26,0.125
8,27,0.2
8,28,0.25
8,29,0.25
8,30,0.2
8,31,0.125
8,32,0.2
8,33,0.2
8,34,0.5
8,35,1.0
8,36,0.333
8,37,0.25
8,38,0.333
8,39,1.0
9,1,20.333
9,3,4.0
9,4,0.25
9,5,2.333
9,6,0.143
9,7,9.0
9,8,2.2
9,11,9.111
9,12,4.167
9,14,0.2
9,15,1.25
9,16,11.25
9,17,3.5
9,18,5.25
9,19,0.333
9,20,0.333
9,21,1.167
9,22,0.2
9,23,0.143
9,24,0.25
9,25,0.167
9,26,0.2
9,27,0.5
9,28,3.0
9,29,0.143
9,30,0.167
9,31,0.333
9,32,0.125
9,33,0.125
9,34,0.2
9,35,0.25
9,36,0.5
9,37,0.2
9,38,0.5
9,39,0.167
11,1,0.125
11,3,0.125
11,4,0.2
11,5,1.167
11,6,10.5
11,7,26.1
11,8,0.167
11,9,9.111
11,12,0.333
11,14,20.25
11,15,0.2
11,16,0.2
11,17,0.143
11,18,0.2
11,19,0.167
11,20,0.167
11,21,1.333
11,22,0.25
11,23,2.5
11,24,0.2
11,25,0.333
11,26,0.25
11,27,0.143
11,28,0.125
11,29,2.5
11,30,0.333
11,31,0.167
11,32,1.0
11,33,1.0
11,34,0.25
11,35,0.143
11,36,0.111
11,37,0.25
11,38,0.143
11,39,0.2
12,1,0.2
12,3,0.2
12,4,0.5
12,5,0.333
12,6,0.333
12,7,0.143
12,8,0.333
12,9,4.167
12,11,0.333
12,14,18.333
12,15,15.5
12,16,0.25
12,17,1.25
12,18,2.5
12,19,0.333
12,20,2.333
12,21,2.5
12,22,0.333
12,23,2.0
12,24,0.167
12,25,0.25
12,26,0.2
12,27,0.25
12,28,1.2
12,29,1.0
12,30,0.5
12,31,0.2
12,32,0.5
12,33,0.5
12,34,5.0
12,35,0.25
12,36,0.167
12,37,1.0
12,38,0.25
12,39,0.25
14,1,0.25
14,3,1.25
14,4,0.333
14,5,1.25
14,6,1.5
14,7,2.167
14,8,0.167
14,9,0.2
14,11,20.25
14,12,18.333
14,15,1.0
14,16,1.0
14,17,3.333
14,18,0.2
14,19,3.5
14,20,0.5
14,21,0.2
14,22,0.167
