Source,Target,Weight
1,6,0.167
1,16,177.2
1,22,38.25
1,27,1576.333
1,32,16.143
1,34,4.25
1,39,2.333
1,42,2.0
1,45,1.0
1,46,0.333
1,47,0.143
1,48,0.25
1,50,2.2
1,51,0.25
1,52,0.125
1,54,0.333
1,56,0.5
1,58,0.333
1,59,0.167
1,60,0.5
1,64,0.2
1,65,0.5
1,67,0.5
1,68,0.333
1,70,0.167
1,71,0.143
1,73,0.5
1,74,0.2
1,77,0.25
1,79,0.167
1,80,0.167
1,81,0.2
1,83,0.25
1,84,0.2
1,85,1.0
6,1,0.167
6,16,0.333
6,22,0.167
6,27,0.2
6,32,9.333
6,34,116.25
6,39,40.143
6,42,830.143
6,45,16.2
6,46,1.333
6,47,216.333
6,48,0.5
6,50,0.2
6,51,0.25
6,52,2.5
6,54,0.333
6,56,0.167
6,58,0.143
6,59,0.25
6,60,0.125
6,64,1.0
6,65,0.167
6,67,0.25
6,68,0.2
6,70,0.25
6,71,1.0
6,73,0.25
6,74,0.2
6,77,0.167
6,79,0.5
6,80,0.5
6,81,0.333
6,83,0.5
6,84,1.0
6,85,0.2
16,1,177.2
16,6,0.333
16,22,1398.143
16,27,0.5
16,32,2.25
16,34,9.2
16,39,0.125
16,42,5.25
16,45,3.167
16,46,4.25
16,47,3.5
16,48,2.0
16,50,0.167
16,51,1.0
16,52,0.2
16,54,0.5
16,56,0.143
16,58,0.25
16,59,1.0
16,60,0.2
16,64,0.5
16,65,0.333
16,67,0.333
16,68,0.167
16,70,0.2
16,71,0.25
16,73,0.2
16,74,0.5
16,77,0.333
16,79,0.333
16,80,1.0
16,81,0.25
16,83,0.333
16,84,0.5
16,85,0.25
22,1,38.25
22,6,0.167
22,16,1398.143
22,27,0.2
22,32,253.333
22,34,3.5
22,39,5.0
22,42,6.2
22,45,71.333
22,46,2.333
22,47,0.111
22,48,1.167
22,50,1.0
22,51,0.167
22,52,0.25
22,54,0.2
22,56,0.5
22,58,0.2
22,59,0.125
22,60,0.167
22,64,0.143
22,65,0.25
22,67,0.25
22,68,1.0
22,70,0.5
22,71,0.2
22,73,0.5
22,74,0.143
22,77,0.167
22,79,0.25
22,80,0.125
22,81,0.333
22,83,0.25
22,84,0.2
22,85,0.333
27,1,1576.333
27,6,0.2
27,16,0.5
27,22,0.2
27,32,2.167
27,34,105.333
27,39,0.167
27,42,3.5
27,45,0.25
27,46,4.5
27,47,0.25
27,48,1.333
27,50,1.25
27,51,3.0
27,52,11.143
27,54,4.5
27,56,0.2
27,58,2.5
27,59,0.333
27,60,0.333
27,64,0.25
27,65,1.0
27,67,1.0
27,68,0.25
27,70,0.2
27,71,0.167
27,73,0.333
27,74,0.5
27,77,1.0
27,79,0.2
27,80,0.333
27,81,0.25
27,83,0.333
27,84,0.25
27,85,0.5
32,1,16.143
32,6,9.333
32,16,2.25
32,22,253.333
32,27,2.167
32,34,610.333
32,39,80.25
32,42,13.125
32,45,308.167
32,46,9.25
32,47,11.167
32,48,54.333
32,50,21.5
32,51,9.2
32,52,13.0
32,54,5.25
32,56,2.2
32,58,2.125
32,59,1.2
32,60,0.111
32,64,0.25
32,65,1.143
32,67,0.2
32,68,0.25
32,70,1.0
32,71,0.5
32,73,0.2
32,74,0.167
32,77,0.143
32,79,1.0
32,80,0.2
32,81,0.5
32,83,0.333
32,84,0.5
32,85,0.167
34,1,4.25
34,6,116.25
34,16,9.2
34,22,3.5
34,27,105.333
34,32,610.333
34,39,25.333
34,42,79.2
34,45,7.333
34,46,674.0
34,47,1.143
34,48,4.25
34,50,8.0
34,51,1.25
34,52,1.25
34,54,0.333
34,56,10.5
34,58,0.2
34,59,1.167
34,60,0.167
34,64,0.2
34,65,0.25
34,67,3.5
34,68,2.0
34,70,1.5
34,71,0.333
34,73,0.5
34,74,0.2
34,77,0.25
34,79,0.5
34,80,0.167
34,81,1.0
34,83,0.5
34,84,0.333
34,85,0.333
39,1,2.333
39,6,40.143
39,16,0.125
39,22,5.0
39,27,0.167
39,32,80.25
39,34,25.333
39,42,163.25
39,45,558.5
39,46,10.25
39,47,58.1
39,48,4.143
39,50,209.5
39,51,2.143
39,52,6.2
39,54,0.167
39,56,10.0
39,58,1.167
39,59,2.111
39,60,2.2
39,64,1.125
39,65,2.2
39,67,2.2
39,68,2.5
39,70,5.333
39,71,0.167
39,73,2.333
39,74,2.125
39,77,0.143
39,79,0.2
39,80,0.111
39,81,0.25
39,83,0.2
39,84,0.167
39,85,0.25
42,1,2.0
42,6,830.143
42,16,5.25
42,22,6.2
42,27,3.5
42,32,13.125
42,34,79.2
42,39,163.25
42,45,328.5
42,46,0.25
42,47,21.167
42,48,13.2
42,50,4.167
42,51,46.333
42,52,10.111
42,54,2.25
42,56,3.333
42,58,2.5
42,59,0.2
42,60,6.0
42,64,1.167
42,65,1.0
42,67,3.333
42,68,0.25
42,70,2.143
42,71,2.125
42,73,0.333
42,74,0.25
42,77,0.333
42,79,1.143
42,80,0.2
42,81,0.167
42,83,0.2
42,84,0.167
42,85,0.5
45,1,1.0
45,6,16.2
45,16,3.167
45,22,71.333
45,27,0.25
45,32,308.167
45,34,7.333
45,39,558.5
45,42,328.5
45,46,3.5
45,47,12.125
45,48,61.2
45,50,6.25
45,51,7.2
45,52,9.143
45,54,8.25
45,56,15.0
45,58,24.25
45,59,3.143
45,60,2.333
45,64,5.167
45,65,2.333
45,67,3.333
45,68,2.5
45,70,7.2
45,71,5.167
45,73,4.0
45,74,2.167
45,77,2.2
45,79,0.2
45,80,2.143
45,81,0.25
45,83,0.333
45,84,0.25
45,85,0.5
46,1,0.333
46,6,1.333
46,16,4.25
46,22,2.333
46,27,4.5
46,32,9.25
46,34,674.0
46,39,10.25
46,42,0.25
46,45,3.5
46,47,347.167
46,48,54.333
46,50,25.5
46,51,8.333
46,52,21.2
46,54,15.5
46,56,3.333
46,58,4.25
46,59,3.2
46,60,1.2
46,64,1.25
46,65,7.333
46,67,15.0
46,68,1.5
46,70,6.333
46,71,0.25
46,73,6.0
46,74,5.25
46,77,4.333
46,79,0.333
46,80,0.2
46,81,0.5
46,83,1.0
46,84,0.5
46,85,0.5
47,1,0.143
47,6,216.333
47,16,3.5
47,22,0.111
47,27,0.25
47,32,11.167
47,34,1.143
47,39,58.1
47,42,21.167
47,45,12.125
47,46,347.167
47,48,261.333
47,50,7.125
47,51,5.333
47,52,28.2
47,54,2.25
47,56,48.111
47,58,12.25
47,59,42.0
47,60,21.2
47,64,3.5
47,65,5.2
47,67,5.2
47,68,1.125
47,70,1.143
47,71,3.25
47,73,3.143
47,74,4.5
47,77,0.333
47,79,1.2
47,80,4.0
47,81,0.167
47,83,0.2
47,84,0.25
47,85,0.167
48,1,0.25
48,6,0.5
48,16,2.0
48,22,1.167
48,27,1.333
48,32,54.333
48,34,4.25
48,39,4.143
48,42,13.2
48,45,61.2
48,46,54.333
48,47,261.333
48,50,16.2
48,51,106.5
48,52,37.25
48,54,33.0
48,56,4.167
48,58,15.2
48,59,1.5
48,60,4.167
48,64,18.0
48,65,3.25
48,67,4.5
48,68,8.2
48,70,5.25
48,71,12.333
48,73,3.25
48,74,2.333
48,77,0.25
48,79,0.5
48,80,0.5
48,81,0.333
48,83,2.5
48,84,3.0
48,85,1.333
50,1,2.2
50,6,0.2
50,16,0.167
50,22,1.0
50,27,1.25
50,32,21.5
50,34,8.0
50,39,209.5
50,42,4.167
50,45,6.25
50,46,25.5
50,47,7.125
50,48,16.2
50,51,101.2
50,52,44.333
50,54,8.25
50,56,7.333
50,58,21.167
50,59,17.143
50,60,3.143
50,64,12.167
50,65,3.2
50,67,5.333
50,68,5.5
50,70,4.0
50,71,5.25
50,73,16.333
50,74,9.167
50,77,2.2
50,79,0.333
50,80,0.143
50,81,2.5
50,83,0.333
50,84,0.25
50,85,4.25
51,1,0.25
51,6,0.25
51,16,1.0
51,22,0.167
51,27,3.0
51,32,9.2
51,34,1.25
51,39,2.143
51,42,46.333
51,45,7.2
51,46,8.333
51,47,5.333
51,48,106.5
51,50,101.2
51,52,16.167
51,54,47.0
51,56,0.167
51,58,10.333
51,59,3.5
51,60,25.25
51,64,8.333
51,65,7.5
51,67,0.5
51,68,0.2
51,70,3.25
51,71,5.2
51,73,0.25
51,74,6.0
51,77,0.5
51,79,3.25
51,80,2.5
51,81,0.333
51,83,1.5
51,84,1.333
51,85,1.333
52,1,0.125
52,6,2.5
52,16,0.2
52,22,0.25
52,27,11.143
52,32,13.0
52,34,1.25
52,39,6.2
52,42,10.111
52,45,9.143
52,46,21.2
52,47,28.2
52,48,37.25
52,50,44.333
52,51,16.167
52,54,26.2
52,56,9.167
52,58,2.111
52,59,5.167
52,60,1.1
52,64,12.333
52,65,4.125
52,67,6.167
52,68,17.2
52,70,4.5
52,71,7.0
52,73,3.167
52,74,4.143
52,77,0.125
52,79,0.5
52,80,1.25
52,81,0.333
52,83,0.25
52,84,0.333
52,85,0.143
54,1,0.333
54,6,0.333
54,16,0.5
54,22,0.2
54,27,4.5
54,32,5.25
54,34,0.333
54,39,0.167
54,42,2.25
54,45,8.25
54,46,15.5
54,47,2.25
54,48,33.0
54,50,8.25
54,51,47.0
54,52,26.2
54,56,2.2
54,58,3.25
54,59,4.333
54,60,0.2
54,64,3.5
54,65,1.333
54,67,1.0
54,68,0.25
54,70,1.333
54,71,0.25
54,73,3.333
54,74,7.5
54,77,2.333
54,79,0.333
54,80,0.333
54,81,0.5
54,83,2.0
54,84,0.5
54,85,3.5
56,1,0.5
56,6,0.167
56,16,0.143
56,22,0.5
56,27,0.2
56,32,2.2
56,34,10.5
56,39,10.0
56,42,3.333
56,45,15.0
56,46,3.333
56,47,48.111
56,48,4.167
56,50,7.333
56,51,0.167
56,52,9.167
56,54,2.2
56,58,23.2
56,59,1.125
56,60,2.25
56,64,1.143
56,65,1.25
56,67,3.25
56,68,2.0
56,70,0.25
56,71,1.2
56,73,3.5
56,74,0.143
56,77,0.167
56,79,0.25
56,80,3.125
56,81,0.333
56,83,0.25
56,84,1.2
56,85,0.333
58,1,0.333
58,6,0.143
58,16,0.25
58,22,0.2
58,27,2.5
58,32,2.125
58,34,0.2
58,39,1.167
58,42,2.5
58,45,24.25
58,46,4.25
58,47,12.25
58,48,15.2
58,50,21.167
58,51,10.333
58,52,2.111
58,54,3.25
58,56,23.2
58,59,1.333
58,60,4.0
58,64,1.167
58,65,3.0
58,67,0.333
58,68,0.25
58,70,0.143
58,71,0.125
58,73,0.333
58,74,0.5
58,77,1.0
58,79,0.143
58,80,0.2
58,81,0.167
58,83,0.2
58,84,0.167
58,85,0.5
59,1,0.167
59,6,0.25
59,16,1.0
59,22,0.125
59,27,0.333
59,32,1.2
59,34,1.167
59,39,2.111
59,42,0.2
59,45,3.143
59,46,3.2
59,47,42.0
59,48,1.5
59,50,17.143
59,51,3.5
59,52,5.167
59,54,4.333
59,56,1.125
59,58,1.333
59,60,5.25
59,64,0.333
59,65,1.25
59,67,0.25
59,68,0.143
59,70,0.167
59,71,0.2
59,73,0.167
59,74,5.0
59,77,0.5
59,79,0.25
59,80,0.5
59,81,0.2
59,83,0.25
59,84,0.333
59,85,0.2
60,1,0.5
60,6,0.125
60,16,0.2
60,22,0.167
60,27,0.333
60,32,0.111
60,34,0.167
60,39,2.2
60,42,6.0
60,45,2.333
60,46,1.2
60,47,21.2
60,48,4.167
60,50,3.143
60,51,25.25
60,52,1.1
60,54,0.2
60,56,2.25
60,58,4.0
60,59,5.25
60,64,0.143
60,65,2.5
60,67,0.25
60,68,0.2
60,70,0.125
60,71,0.111
60,73,1.25
60,74,0.333
60,77,0.5
60,79,0.125
60,80,0.167
60,81,0.143
60,83,0.167
60,84,0.143
60,85,0.333
64,1,0.2
64,6,1.0
64,16,0.5
64,22,0.143
64,27,0.25
64,32,0.25
64,34,0.2
64,39,1.125
64,42,1.167
64,45,5.167
64,46,1.25
64,47,3.5
64,48,18.0
64,50,12.167
64,51,8.333
64,52,12.333
64,54,3.5
64,56,1.143
64,58,1.167
64,59,0.333
64,60,0.143
64,65,0.2
64,67,0.333
64,68,0.167
64,70,0.2
64,71,0.5
64,73,0.2
64,74,0.25
64,77,0.2
64,79,0.333
64,80,1.0
64,81,0.25
64,83,0.333
64,84,0.5
64,85,0.25
65,1,0.5
65,6,0.167
65,16,0.333
65,22,0.25
65,27,1.0
65,32,1.143
65,34,0.25
65,39,2.2
65,42,1.0
65,45,2.333
65,46,7.333
65,47,5.2
65,48,3.25
65,50,3.2
65,51,7.5
65,52,4.125
65,54,1.333
65,56,1.25
65,58,3.0
65,59,1.25
65,60,2.5
65,64,0.2
65,67,0.5
65,68,0.333
65,70,0.167
65,71,0.143
65,73,0.5
65,74,0.333
65,77,0.5
65,79,0.167
65,80,0.25
65,81,0.2
65,83,0.25
65,84,0.2
65,85,1.0
67,1,0.5
67,6,0.25
67,16,0.333
67,22,0.25
67,27,1.0
67,32,0.2
67,34,3.5
67,39,2.2
67,42,3.333
67,45,3.333
67,46,15.0
67,47,5.2
67,48,4.5
67,50,5.333
67,51,0.5
67,52,6.167
67,54,1.0
67,56,3.25
67,58,0.333
67,59,0.25
67,60,0.25
67,64,0.333
67,65,0.5
67,68,0.333
67,70,0.25
67,71,0.2
67,73,1.5
67,74,0.333
67,77,0.5
67,79,0.25
67,80,0.25
67,81,0.333
67,83,0.5
67,84,0.333
67,85,1.0
68,1,0.333
68,6,0.2
68,16,0.167
68,22,1.0
68,27,0.25
68,32,0.25
68,34,2.0
68,39,2.5
68,42,0.25
68,45,2.5
68,46,1.5
68,47,1.125
68,48,8.2
68,50,5.5
68,51,0.2
68,52,17.2
68,54,0.25
68,56,2.0
68,58,0.25
68,59,0.143
68,60,0.2
68,64,0.167
68,65,0.333
68,67,0.333
68,70,0.333
68,71,0.25
68,73,1.0
68,74,0.167
68,77,0.2
68,79,0.333
68,80,0.143
68,81,0.5
68,83,0.333
68,84,0.25
68,85,0.5
70,1,0.167
70,6,0.25
70,16,0.2
70,22,0.5
70,27,0.2
70,32,1.0
70,34,1.5
70,39,5.333
70,42,2.143
70,45,7.2
70,46,6.333
70,47,1.143
70,48,5.25
70,50,4.0
70,51,3.25
70,52,4.5
70,54,1.333
70,56,0.25
70,58,0.143
70,59,0.167
70,60,0.125
70,64,0.2
70,65,0.167
70,67,0.25
70,68,0.333
70,71,1.333
70,73,0.25
70,74,0.2
70,77,0.167
70,79,0.5
70,80,0.167
70,81,1.0
70,83,0.5
70,84,0.333
70,85,0.2
71,1,0.143
71,6,1.0
71,16,0.25
71,22,0.2
71,27,0.167
71,32,0.5
71,34,0.333
71,39,0.167
71,42,2.125
71,45,5.167
71,46,0.25
71,47,3.25
71,48,12.333
71,50,5.25
71,51,5.2
71,52,7.0
71,54,0.25
71,56,1.2
71,58,0.125
71,59,0.2
71,60,0.111
71,64,0.5
71,65,0.143
71,67,0.2
71,68,0.25
71,70,1.333
71,73,0.2
71,74,0.167
71,77,0.143
71,79,1.0
71,80,0.333
71,81,0.5
71,83,0.333
71,84,0.5
71,85,0.167
73,1,0.5
73,6,0.25
73,16,0.2
73,22,0.5
73,27,0.333
73,32,0.2
73,34,0.5
73,39,2.333
73,42,0.333
73,45,4.0
73,46,6.0
73,47,3.143
73,48,3.25
73,50,16.333
73,51,0.25
73,52,3.167
73,54,3.333
73,56,3.5
73,58,0.333
73,59,0.167
73,60,1.25
73,64,0.2
73,65,0.5
73,67,1.5
73,68,1.0
73,70,0.25
73,71,0.2
73,74,0.2
73,77,0.25
73,79,0.25
73,80,0.167
73,81,0.333
73,83,0.5
73,84,0.333
73,85,1.0
74,1,0.2
74,6,0.2
74,16,0.5
74,22,0.143
74,27,0.5
74,32,0.167
74,34,0.2
74,39,2.125
74,42,0.25
74,45,2.167
74,46,5.25
74,47,4.5
74,48,2.333
74,50,9.167
74,51,6.0
74,52,4.143
74,54,7.5
74,56,0.143
74,58,0.5
74,59,5.0
74,60,0.333
74,64,0.25
74,65,0.333
74,67,0.333
74,68,0.167
74,70,0.2
74,71,0.167
74,73,0.2
74,77,1.0
74,79,0.2
74,80,0.333
74,81,0.25
74,83,0.333
74,84,0.25
74,85,0.25
77,1,0.25
77,6,0.167
77,16,0.333
77,22,0.167
77,27,1.0
77,32,0.143
77,34,0.25
77,39,0.143
77,42,0.333
77,45,2.2
77,46,4.333
77,47,0.333
77,48,0.25
77,50,2.2
77,51,0.5
77,52,0.125
77,54,2.333
77,56,0.167
77,58,1.0
77,59,0.5
77,60,0.5
77,64,0.2
77,65,0.5
77,67,0.5
77,68,0.2
77,70,0.167
77,71,0.143
77,73,0.25
77,74,1.0
77,79,0.167
77,80,0.25
77,81,0.2
77,83,0.25
77,84,0.2
77,85,0.333
79,1,0.167
79,6,0.5
79,16,0.333
79,22,0.25
79,27,0.2
79,32,1.0
79,34,0.5
79,39,0.2
79,42,1.143
79,45,0.2
79,46,0.333
79,47,1.2
79,48,0.5
79,50,0.333
79,51,3.25
79,52,0.5
79,54,0.333
79,56,0.25
79,58,0.143
79,59,0.25
79,60,0.125
79,64,0.333
79,65,0.167
79,67,0.25
79,68,0.333
79,70,0.5
79,71,1.0
79,73,0.25
79,74,0.2
79,77,0.167
79,80,0.25
79,81,1.0
79,83,0.5
79,84,1.0
79,85,0.2
80,1,0.167
80,6,0.5
80,16,1.0
80,22,0.125
80,27,0.333
80,32,0.2
80,34,0.167
80,39,0.111
80,42,0.2
80,45,2.143
80,46,0.2
80,47,4.0
80,48,0.5
80,50,0.143
80,51,2.5
80,52,1.25
80,54,0.333
80,56,3.125
80,58,0.2
80,59,0.5
80,60,0.167
80,64,1.0
80,65,0.25
80,67,0.25
80,68,0.143
80,70,0.167
80,71,0.333
80,73,0.167
80,74,0.333
80,77,0.25
80,79,0.25
80,81,0.2
80,83,0.25
80,84,0.333
80,85,0.2
81,1,0.2
81,6,0.333
81,16,0.25
81,22,0.333
81,27,0.25
81,32,0.5
81,34,1.0
81,39,0.25
81,42,0.167
81,45,0.25
81,46,0.5
81,47,0.167
81,48,0.333
81,50,2.5
81,51,0.333
81,52,0.333
81,54,0.5
81,56,0.333
81,58,0.167
81,59,0.2
81,60,0.143
81,64,0.25
81,65,0.2
81,67,0.333
81,68,0.5
81,70,1.0
81,71,0.5
81,73,0.333
81,74,0.25
81,77,0.2
81,79,1.0
81,80,0.2
81,83,1.0
81,84,0.5
81,85,0.25
83,1,0.25
83,6,0.5
83,16,0.333
83,22,0.25
83,27,0.333
83,32,0.333
83,34,0.5
83,39,0.2
83,42,0.2
83,45,0.333
83,46,1.0
83,47,0.2
83,48,2.5
83,50,0.333
83,51,1.5
83,52,0.25
83,54,2.0
83,56,0.25
83,58,0.2
83,59,0.25
83,60,0.167
83,64,0.333
83,65,0.25
83,67,0.5
83,68,0.333
83,70,0.5
83,71,0.333
83,73,0.5
83,74,0.333
83,77,0.25
