Source,Target,Weight
27,62,0.25
27,63,1.333
28,1,159.5
28,6,0.167
28,12,23.2
28,16,0.333
28,17,13.333
28,20,4.5
28,22,145.25
28,23,2.167
28,25,0.2
28,27,113.0
28,29,36.167
28,30,3.2
28,32,16.143
28,33,0.143
28,34,3.25
28,38,4.0
28,39,6.2
28,41,0.5
28,42,7.0
28,45,2.333
28,46,4.333
28,47,2.2
28,48,2.25
28,49,2.25
28,50,2.2
28,51,3.5
28,52,0.125
28,54,0.333
28,56,1.25
28,58,2.0
28,59,1.25
28,60,0.5
28,61,0.25
28,62,0.333
28,63,0.5
29,1,4.167
29,6,0.5
29,12,83.0
29,16,2.333
29,17,8.2
29,20,4.25
29,22,1.25
29,23,18.5
29,25,26.333
29,27,83.2
29,28,36.167
29,30,80.0
29,32,29.0
29,33,6.0
29,34,22.5
29,38,3.2
29,39,7.2
29,41,0.167
29,42,2.143
29,45,2.2
29,46,1.333
29,47,1.2
29,48,5.5
29,49,1.5
29,50,1.333
29,51,3.25
29,52,10.5
29,54,2.333
29,56,5.25
29,58,1.143
29,59,2.25
29,60,1.125
29,61,3.25
29,62,1.333
29,63,0.25
30,1,25.2
30,6,4.0
30,12,8.5
30,16,4.5
30,17,5.25
30,20,0.333
30,22,0.2
30,23,132.333
30,25,8.5
30,27,3.25
30,28,3.2
30,29,80.0
30,32,35.5
30,33,1.5
30,34,1.333
30,38,2.25
30,39,7.167
30,41,3.2
30,42,5.167
30,45,0.25
30,46,4.5
30,47,5.25
30,48,3.0
30,49,12.0
30,50,0.25
30,51,2.333
30,52,1.333
30,54,8.5
30,56,0.2
30,58,0.167
30,59,5.333
30,60,0.143
30,61,7.333
30,62,0.25
30,63,2.333
32,1,15.143
32,6,0.333
32,12,5.5
32,16,2.25
32,17,0.167
32,20,2.2
32,22,18.333
32,23,10.0
32,25,3.25
32,27,2.167
32,28,16.143
32,29,29.0
32,30,35.5
32,33,39.5
32,34,7.333
32,38,10.167
32,39,6.25
32,41,4.143
32,42,5.125
32,45,12.167
32,46,2.25
32,47,1.167
32,48,6.333
32,49,0.333
32,50,1.5
32,51,4.2
32,52,3.0
32,54,1.25
32,56,1.2
32,58,1.125
32,59,1.2
32,60,0.111
32,61,3.2
32,62,0.25
32,63,2.2
33,1,2.143
33,6,1.0
33,12,1.5
33,16,7.25
33,17,3.167
33,20,4.2
33,22,1.2
33,23,6.333
33,25,6.5
33,27,84.167
33,28,0.143
33,29,6.0
33,30,1.5
33,32,39.5
33,34,9.333
33,38,0.167
33,39,8.167
33,41,0.143
33,42,0.125
33,45,1.167
33,46,1.25
33,47,2.25
33,48,1.333
33,49,1.333
33,50,0.25
33,51,5.2
33,52,2.0
33,54,3.25
33,56,5.2
33,58,3.125
33,59,4.2
33,60,1.111
33,61,1.333
33,62,2.25
33,63,0.2
34,1,3.25
34,6,0.25
34,12,7.0
34,16,5.2
34,17,8.2
34,20,2.5
34,22,1.5
34,23,2.5
34,25,14.2
34,27,19.333
34,28,3.25
34,29,22.5
34,30,1.333
34,32,7.333
34,33,9.333
34,38,10.333
34,39,3.333
34,41,1.25
34,42,11.2
34,45,3.333
34,46,13.0
34,47,0.143
34,48,1.25
34,49,0.5
34,50,4.0
34,51,1.25
34,52,0.25
34,54,0.333
34,56,3.5
34,58,0.2
34,59,1.167
34,60,0.167
34,61,2.167
34,62,1.0
34,63,0.5
38,1,4.0
38,6,0.2
38,12,0.25
38,16,0.25
38,17,0.25
38,20,23.0
38,22,2.333
38,23,11.2
38,25,2.25
38,27,3.5
38,28,4.0
38,29,3.2
38,30,2.25
38,32,10.167
38,33,0.167
38,34,10.333
38,39,1.25
38,41,2.333
38,42,18.5
38,45,0.5
38,46,0.5
38,47,0.167
38,48,3.333
38,49,0.333
38,50,0.25
38,51,1.333
38,52,1.143
38,54,0.5
38,56,0.333
38,58,1.5
38,59,0.2
38,60,0.333
38,61,0.2
38,62,0.5
38,63,1.0
39,1,1.333
39,6,0.143
39,12,0.25
39,16,0.125
39,17,8.125
39,20,11.2
39,22,3.0
39,23,11.333
39,25,2.125
39,27,0.167
39,28,6.2
39,29,7.2
39,30,7.167
39,32,6.25
39,33,8.167
39,34,3.333
39,38,1.25
39,41,9.143
39,42,0.25
39,45,7.5
39,46,0.25
39,47,2.1
39,48,0.143
39,49,0.2
39,50,2.5
39,51,0.143
39,52,0.2
39,54,0.167
39,56,2.0
39,58,0.167
39,59,0.111
39,60,0.2
39,61,0.111
39,62,0.5
39,63,0.333
41,1,0.25
41,6,0.167
41,12,0.2
41,16,2.333
