ID,Label,num_member
1,Household 1,23
6,Household 6,23
16,Household 16,20
22,Household 22,20
27,Household 27,21
32,Household 32,21
34,Household 34,19
39,Household 39,17
42,Household 42,19
45,Household 45,19
46,Household 46,21
47,Household 47,20
48,Household 48,23
50,Household 50,23
51,Household 51,20
52,Household 52,22
54,Household 54,20
56,Household 56,21
58,Household 58,13
59,Household 59,20
60,Household 60,18
64,Household 64,23
65,Household 65,21
67,Household 67,21
68,Household 68,19
70,Household 70,18
71,Household 71,22
73,Household 73,21
74,Household 74,20
77,Household 77,16
79,Household 79,22
80,Household 80,20
81,Household 81,22
83,Household 83,3
84,Household 84,19
85,Household 85,21
