,Parameter,Value,Gini
217,max_member,50,0.5004750982579047
218,max_member,50,0.5097463745861862
219,max_member,50,0.508262374475323
220,max_member,5,0.10918542646849336
221,max_member,5,0.11518128081435558
222,max_member,50,0.5049995912541072
223,max_member,5,0.046617501581986014
224,max_member,50,0.5014844187843693
225,max_member,25,0.4626771559777391
226,max_member,5,0.07668896344064456
227,max_member,5,0.07895051002185836
228,max_member,25,0.4663280528820097
229,max_member,50,0.5017118412108699
230,max_member,25,0.4633303742267779
231,max_member,5,0.09053852420858889
232,max_member,5,0.07931987642026904
233,max_member,25,0.46928074433447114
234,spare_food_enabled,False,0.4635103878841509
235,spare_food_enabled,False,0.46893308048156557
236,spare_food_enabled,True,0.4633303742267779
237,spare_food_enabled,True,0.46928074433447114
238,spare_food_enabled,True,0.4659033798535398
239,spare_food_enabled,True,0.4626771559777391
240,spare_food_enabled,False,0.46751090804042145
241,spare_food_enabled,True,0.46729323478800455
242,spare_food_enabled,False,0.4686711582269323
243,spare_food_enabled,False,0.4647102420221676
244,spare_food_enabled,False,0.4638182694380546
245,spare_food_enabled,True,0.4758133453826635
246,spare_food_enabled,False,0.4642244739172684
247,spare_food_enabled,False,0.4674679830376899
248,spare_food_enabled,True,0.4700216026132841
249,spare_food_enabled,False,0.4616006587166815
250,spare_food_enabled,True,0.4663280528820097
251,spare_food_enabled,True,0.46706985517465527
252,trading_enabled,True,0.4626771559777391
253,trading_enabled,False,0.2987878017858503
254,trading_enabled,False,0.3009501723110686
255,trading_enabled,True,0.46706985517465527
256,trading_enabled,False,0.30062108438761664
257,trading_enabled,True,0.4633303742267779
258,trading_enabled,True,0.4663280528820097
259,trading_enabled,True,0.4659033798535398
260,trading_enabled,False,0.3048505053571252
261,trading_enabled,False,0.30227442329740767
262,trading_enabled,True,0.46928074433447114
263,trading_enabled,False,0.2993332108761948
264,trading_enabled,False,0.30209826483349284
265,trading_enabled,True,0.4758133453826635
266,trading_enabled,False,0.30365357173961655
267,trading_enabled,True,0.4700216026132841
268,trading_enabled,False,0.3002921038537695
269,trading_enabled,True,0.46729323478800455
