Population Over Time,Occupied Land Capacity,All Land Capacity,Food Storage Over Time,Average Household Fertility,Average Age Over Time,Average Life Span Over Time,Accumulated Population,Gini Coefficients,Eigenvalue
112,145.0,280.0,2825.183455782038,0.8598449015808416,11.892857142857142,6.111111111111111,130,0.1764215832999288,2.3809192637883094
116,159.15,278.8,4724.620164290573,0.9815048683123313,12.448275862068966,6.111111111111111,134,0.4523015497165757,
135,176.935,282.6495,8133.058472773502,0.9641432863986513,11.555555555555555,6.111111111111111,153,0.36788087730163066,
152,169.615255,282.801055,10441.638076904152,0.9366128659539479,11.151315789473685,6.111111111111111,170,0.3218154403027439,
161,166.3231322,278.96718355,11847.580354923164,0.9589240058688107,11.4472049689441,2.0,181,0.35767410406196687,
169,169.664014675,274.8907652555,12254.965839676963,1.0252728524328842,11.857988165680473,2.0,189,0.37311097032903134,
170,164.32300761032,270.5135001576,12702.489568842499,1.1257168540460198,12.741176470588234,3.5,192,0.34303475314342285,
174,162.07366640821354,268.0149855403057,12392.627977418964,1.1866618481018447,13.425287356321839,3.5,196,0.35234623178415997,
179,176.06512522306684,265.2974481292464,12739.484942277766,1.1890402358932504,14.022346368715084,3.5,201,0.3007568307399136,
185,183.6058992215291,262.8077546665014,13559.677146654536,1.167673446188368,14.535135135135135,3.5,207,0.2655827035678764,
195,180.71559539780824,259.09684522408855,14674.497802681475,1.1881031268038245,14.738461538461538,3.5,217,0.2866158785221904,
200,175.1954470020329,251.39426178154596,14956.985205065357,1.2519144046828392,15.345,3.5,222,0.33611154052501097,
204,179.24216357033183,242.46841624054588,13571.750800750713,1.2731859119241569,16.024509803921568,3.5,226,0.4090908161171278,
215,216.9529678382422,234.2611180553531,11970.474538699484,1.19970823336382,16.153488372093022,3.5,237,0.42195764788090384,
239,212.11284146570284,223.43154225969408,16515.31440689811,1.0618808764142136,15.430962343096235,3.5,261,0.31709054140245985,
252,196.41053369399896,205.51293288111674,18486.69968777957,1.0406522181675983,15.567460317460318,2.0,276,0.34790575843057947,
266,181.7306543811645,188.27967662967683,18120.05107690021,1.0740971431621538,15.69548872180451,2.0,290,0.3028460720023288,
273,169.5180424378786,173.03738053191177,17071.08981538788,1.1023989201741848,16.267399267399266,2.0,297,0.3255072797032665,
283,160.83781919147543,160.83781919147543,16279.174914418025,1.0841483112239587,16.657243816254418,2.0,307,0.3374068197542466,
283,149.22649653796472,149.22649653796472,14771.736794648914,1.0879034068960525,17.657243816254418,2.0,307,0.30249255336877034,
283,141.44382170028595,141.44382170028595,14041.260592340597,1.1020717640155027,18.657243816254418,2.0,307,0.2951681963946514,
283,136.35644226764612,136.35644226764612,14220.867641264063,1.149894277818081,19.657243816254418,2.0,307,0.3022115446461599,
283,133.08004974410048,133.08004974410048,14362.985811616223,1.2078044337885876,20.657243816254418,2.0,307,0.3183343404786434,
283,131.07338784196503,131.07338784196503,14515.379065793255,1.2472139678207166,21.657243816254418,2.0,307,0.3331803159682012,
283,129.54834781140605,129.54834781140605,14424.645684407362,1.2990043655363863,22.657243816254418,2.0,307,0.36747223352792296,
283,128.2132450881739,128.2132450881739,15423.847391967125,1.2936607840746566,23.657243816254418,2.0,307,0.3511841034423105,
283,127.67126428268593,127.67126428268593,16791.90323078868,1.2726068643195725,24.657243816254418,2.0,307,0.3246711201751447,
283,128.30730293639314,128.30730293639314,18603.58016853778,1.3092176954862706,25.657243816254418,2.0,307,0.2883503841202004,
283,129.71257791503766,129.71257791503766,18417.742974231318,1.416416386136295,26.657243816254418,2.0,307,0.246137434868946,
282,131.1426576956388,131.1426576956388,19583.446238755914,1.5007418433425352,27.578014184397162,50.0,307,0.23974193980664213,
280,133.28782128907,133.28782128907,20412.386733696232,1.550171149149577,28.42142857142857,50.5,307,0.24796182106091463,
